property_id,check_in_date,room_category,successful_bookings,capacity,occ_rate
16559,2022-05-01,RT1,25,30.0,83.33
19562,2022-05-01,RT1,28,30.0,93.33
19563,2022-05-01,RT1,23,30.0,76.67
16558,2022-05-01,RT1,18,19.0,94.74
17560,2022-05-01,RT1,28,40.0,70.0
19558,2022-05-01,RT1,25,40.0,62.5
19560,2022-05-01,RT1,23,26.0,88.46
17561,2022-05-01,RT1,22,25.0,88.0
16560,2022-05-01,RT1,24,34.0,70.59
16561,2022-05-01,RT1,16,18.0,88.89
16562,2022-05-01,RT1,20,31.0,64.52
17559,2022-05-01,RT1,26,32.0,81.25
17562,2022-05-01,RT1,12,25.0,48.0
17563,2022-05-01,RT1,21,25.0,84.0
18558,2022-05-01,RT1,11,15.0,73.33
18559,2022-05-01,RT1,29,42.0,69.05
18561,2022-05-01,RT1,31,33.0,93.94
18562,2022-05-01,RT1,34,38.0,89.47
18563,2022-05-01,RT1,18,27.0,66.67
19559,2022-05-01,RT1,18,24.0,75.0
19561,2022-05-01,RT1,25,36.0,69.44
17564,2022-05-01,RT1,9,16.0,56.25
19562,2022-05-01,RT2,23,23.0,100.0
18563,2022-05-01,RT2,21,29.0,72.41
17561,2022-05-01,RT2,32,36.0,88.89
17558,2022-05-01,RT2,38,50.0,76.0
16562,2022-05-01,RT2,30,43.0,69.77
16561,2022-05-01,RT2,24,24.0,100.0
16558,2022-05-01,RT2,21,22.0,95.45
19560,2022-05-01,RT2,37,38.0,97.37
16563,2022-05-01,RT2,37,38.0,97.37
16559,2022-05-01,RT2,35,41.0,85.37
19559,2022-05-01,RT2,32,41.0,78.05
19558,2022-05-01,RT2,25,39.0,64.1
17559,2022-05-01,RT2,34,39.0,87.18
16560,2022-05-01,RT2,25,34.0,73.53
18562,2022-05-01,RT2,33,34.0,97.06
18559,2022-05-01,RT2,29,44.0,65.91
17563,2022-05-01,RT2,40,44.0,90.91
17562,2022-05-01,RT2,19,30.0,63.33
18558,2022-05-01,RT2,21,30.0,70.0
17564,2022-05-01,RT2,25,40.0,62.5
18561,2022-05-01,RT2,35,40.0,87.5
18560,2022-05-01,RT2,34,40.0,85.0
17560,2022-05-01,RT2,31,45.0,68.89
19561,2022-05-01,RT2,35,45.0,77.78
19563,2022-05-01,RT2,36,45.0,80.0
19563,2022-05-01,RT3,20,29.0,68.97
18560,2022-05-01,RT1,27,30.0,90.0
19562,2022-05-01,RT3,25,29.0,86.21
19561,2022-05-01,RT3,23,29.0,79.31
18562,2022-05-01,RT3,28,29.0,96.55
17558,2022-05-01,RT3,21,27.0,77.78
17562,2022-05-01,RT3,15,27.0,55.56
19559,2022-05-01,RT3,19,27.0,70.37
16559,2022-05-01,RT3,27,32.0,84.38
17560,2022-05-01,RT3,19,25.0,76.0
18561,2022-05-01,RT3,23,25.0,92.0
16561,2022-05-01,RT3,21,21.0,100.0
16563,2022-05-01,RT3,17,20.0,85.0
17561,2022-05-01,RT3,16,19.0,84.21
18558,2022-05-01,RT3,18,26.0,69.23
18560,2022-05-01,RT3,21,24.0,87.5
18563,2022-05-01,RT3,16,23.0,69.57
19560,2022-05-01,RT3,16,19.0,84.21
17564,2022-05-01,RT3,16,24.0,66.67
16560,2022-05-01,RT3,15,20.0,75.0
16558,2022-05-01,RT3,8,8.0,100.0
19558,2022-05-01,RT3,13,21.0,61.9
16562,2022-05-01,RT3,14,18.0,77.78
17559,2022-05-01,RT3,14,16.0,87.5
17563,2022-05-01,RT3,14,16.0,87.5
18559,2022-05-01,RT3,14,23.0,60.87
19559,2022-05-01,RT4,2,3.0,66.67
16562,2022-05-01,RT4,4,6.0,66.67
17558,2022-05-01,RT4,4,6.0,66.67
17562,2022-05-01,RT4,4,6.0,66.67
19563,2022-05-01,RT4,4,6.0,66.67
19558,2022-05-01,RT4,4,7.0,57.14
19561,2022-05-01,RT4,5,7.0,71.43
16560,2022-05-01,RT4,6,7.0,85.71
16561,2022-05-01,RT4,9,10.0,90.0
17560,2022-05-01,RT4,10,13.0,76.92
18561,2022-05-01,RT4,8,9.0,88.89
17564,2022-05-01,RT4,9,17.0,52.94
18560,2022-05-01,RT4,14,15.0,93.33
19560,2022-05-01,RT4,15,16.0,93.75
18559,2022-05-01,RT4,11,19.0,57.89
17563,2022-05-01,RT4,17,19.0,89.47
19562,2022-05-01,RT4,13,14.0,92.86
17559,2022-05-01,RT4,13,14.0,92.86
18558,2022-05-01,RT4,14,20.0,70.0
18562,2022-05-01,RT4,19,20.0,95.0
18563,2022-05-01,RT4,13,18.0,72.22
16563,2022-05-01,RT4,17,18.0,94.44
16559,2022-05-01,RT4,17,18.0,94.44
17561,2022-05-01,RT4,3,4.0,75.0
16558,2022-05-01,RT4,3,3.0,100.0
16559,2022-05-02,RT1,20,30.0,66.67
18560,2022-05-02,RT1,21,30.0,70.0
19562,2022-05-02,RT1,20,30.0,66.67
19563,2022-05-02,RT1,14,30.0,46.67
17558,2022-05-02,RT1,10,19.0,52.63
16558,2022-05-02,RT1,12,19.0,63.16
17560,2022-05-02,RT1,22,40.0,55.0
19558,2022-05-02,RT1,16,40.0,40.0
19560,2022-05-02,RT1,14,26.0,53.85
17561,2022-05-02,RT1,15,26.0,57.69
16560,2022-05-02,RT1,17,34.0,50.0
16561,2022-05-02,RT1,11,18.0,61.11
16562,2022-05-02,RT1,17,31.0,54.84
16563,2022-05-02,RT1,25,41.0,60.98
17559,2022-05-02,RT1,20,32.0,62.5
17562,2022-05-02,RT1,9,20.0,45.0
17563,2022-05-02,RT1,15,25.0,60.0
18558,2022-05-02,RT1,8,15.0,53.33
18559,2022-05-02,RT1,17,42.0,40.48
18561,2022-05-02,RT1,24,33.0,72.73
18562,2022-05-02,RT1,22,38.0,57.89
18563,2022-05-02,RT1,14,27.0,51.85
19559,2022-05-02,RT1,13,24.0,54.17
19561,2022-05-02,RT1,20,36.0,55.56
17564,2022-05-02,RT1,7,16.0,43.75
19562,2022-05-02,RT2,15,23.0,65.22
18563,2022-05-02,RT2,15,29.0,51.72
17561,2022-05-02,RT2,23,36.0,63.89
17558,2022-05-02,RT2,27,50.0,54.0
16562,2022-05-02,RT2,21,43.0,48.84
16561,2022-05-02,RT2,16,24.0,66.67
16558,2022-05-02,RT2,14,22.0,63.64
19560,2022-05-02,RT2,21,38.0,55.26
16563,2022-05-02,RT2,23,38.0,60.53
16559,2022-05-02,RT2,23,41.0,56.1
19559,2022-05-02,RT2,19,41.0,46.34
19558,2022-05-02,RT2,17,39.0,43.59
17559,2022-05-02,RT2,26,39.0,66.67
16560,2022-05-02,RT2,17,34.0,50.0
18562,2022-05-02,RT2,17,34.0,50.0
18559,2022-05-02,RT2,18,44.0,40.91
17563,2022-05-02,RT2,28,44.0,63.64
17562,2022-05-02,RT2,14,30.0,46.67
18558,2022-05-02,RT2,14,30.0,46.67
17564,2022-05-02,RT2,16,40.0,40.0
18561,2022-05-02,RT2,25,40.0,62.5
18560,2022-05-02,RT2,26,40.0,65.0
17560,2022-05-02,RT2,23,45.0,51.11
19561,2022-05-02,RT2,22,45.0,48.89
19563,2022-05-02,RT2,20,45.0,44.44
19563,2022-05-02,RT3,14,29.0,48.28
19562,2022-05-02,RT3,18,29.0,62.07
19561,2022-05-02,RT3,17,29.0,58.62
18562,2022-05-02,RT3,18,29.0,62.07
17558,2022-05-02,RT3,12,27.0,44.44
17562,2022-05-02,RT3,12,27.0,44.44
19559,2022-05-02,RT3,14,27.0,51.85
16559,2022-05-02,RT3,20,32.0,62.5
16558,2022-05-02,RT3,5,8.0,62.5
